bin,bin_lower,bin_upper,count,weight_sum,mean_pred,observed,abs_gap,ece_contribution,method,reliability_type,class
2,0.13333333333333333,0.2,1421,11394.293888,0.15571658610648537,0.12365838671968087,0.0320581993868045,8.777406414200113e-07,true-logit genome-weighted vector T,binary_class,donor
3,0.2,0.26666666666666666,1264,3757.323472,0.22820708039397683,0.33561124278947896,0.10740416239550213,9.697043934042674e-07,true-logit genome-weighted vector T,binary_class,donor
4,0.26666666666666666,0.3333333333333333,1249,2080.107824,0.29106485668297377,0.599968898535329,0.3089040418523552,1.5440064261877825e-06,true-logit genome-weighted vector T,binary_class,donor
5,0.3333333333333333,0.4,1385,2216.107824,0.3610484502614613,0.6245183492479741,0.2634698989865128,1.4030125541438406e-06,true-logit genome-weighted vector T,binary_class,donor
6,0.4,0.4666666666666667,1403,1403.0,0.4341236650094082,1.0,0.5658763349905918,1.907738605324395e-06,true-logit genome-weighted vector T,binary_class,donor
7,0.4666666666666667,0.5333333333333333,1622,2453.107824,0.4894375092430471,0.6607944355893913,0.17135692634634425,1.0100851036063264e-06,true-logit genome-weighted vector T,binary_class,donor
8,0.5333333333333333,0.6,1764,3426.2156480000003,0.556903112490947,0.5142700229708366,0.04263308952011047,3.509951903988545e-07,true-logit genome-weighted vector T,binary_class,donor
9,0.6,0.6666666666666666,2131,4624.323472,0.6398206137329586,0.4601754208772184,0.1796451928557402,1.996197332647939e-06,true-logit genome-weighted vector T,binary_class,donor
10,0.6666666666666666,0.7333333333333333,2516,2516.0,0.7008725419664231,1.0,0.2991274580335769,1.8084503181768536e-06,true-logit genome-weighted vector T,binary_class,donor
11,0.7333333333333333,0.8,3207,4038.107824,0.7678790691187115,0.7939362047109121,0.026057135592200575,2.528391078092417e-07,true-logit genome-weighted vector T,binary_class,donor
12,0.8,0.8666666666666667,4728,4728.0,0.8352510622763997,1.0,0.16474893772360033,1.87171515176178e-06,true-logit genome-weighted vector T,binary_class,donor
13,0.8666666666666667,0.9333333333333333,7821,7821.0,0.9036655843280768,1.0,0.09633441567192325,1.8104370073291805e-06,true-logit genome-weighted vector T,binary_class,donor
14,0.9333333333333333,1.0,18288,18288.0,0.9703351944222173,1.0,0.029664805577782727,1.3036091032451233e-06,true-logit genome-weighted vector T,binary_class,donor
0,0.0,0.06666666666666667,0,0.0,,,,0.0,OpenSpliceAI-style vector T,multiclass,argmax
1,0.06666666666666667,0.13333333333333333,0,0.0,,,,0.0,OpenSpliceAI-style vector T,multiclass,argmax
2,0.13333333333333333,0.2,0,0.0,,,,0.0,OpenSpliceAI-style vector T,multiclass,argmax
3,0.2,0.26666666666666666,0,0.0,,,,0.0,OpenSpliceAI-style vector T,multiclass,argmax
4,0.26666666666666666,0.3333333333333333,0,0.0,,,,0.0,OpenSpliceAI-style vector T,multiclass,argmax
5,0.3333333333333333,0.4,0,0.0,,,,0.0,OpenSpliceAI-style vector T,multiclass,argmax
6,0.4,0.4666666666666667,0,0.0,,,,0.0,OpenSpliceAI-style vector T,multiclass,argmax
7,0.4666666666666667,0.5333333333333333,2353,3184.107824,0.5140044673014791,0.6520218342957723,0.13801736699429323,1.0559933152979825e-06,OpenSpliceAI-style vector T,multiclass,argmax
8,0.5333333333333333,0.6,4673,7997.431296000001,0.5626326535120503,0.5329480792328647,0.029684574279185583,5.704544967051024e-07,OpenSpliceAI-style vector T,multiclass,argmax
9,0.6,0.6666666666666666,4886,8210.431296,0.6330150418619473,0.5416543282161824,0.09136071364576492,1.802457858857369e-06,OpenSpliceAI-style vector T,multiclass,argmax
10,0.6666666666666666,0.7333333333333333,5669,12317.862592000001,0.7074891732089453,0.49231946100280055,0.21516971220614478,6.368778712311315e-06,OpenSpliceAI-style vector T,multiclass,argmax
11,0.7333333333333333,0.8,6615,12432.754768,0.7653569531059957,0.8313326339068993,0.06597568080090355,1.971019463786716e-06,OpenSpliceAI-style vector T,multiclass,argmax
12,0.8,0.8666666666666667,8625,21922.725184000003,0.8378108842070189,0.8525225401101302,0.014711655903111298,7.749894015894857e-07,OpenSpliceAI-style vector T,multiclass,argmax
13,0.8666666666666667,0.9333333333333333,14188,44938.98948800001,0.9044528351318946,0.9127237201217593,0.008270884989864724,8.931305594386483e-07,OpenSpliceAI-style vector T,multiclass,argmax
14,0.9333333333333333,1.0,559079,416048995.69755197,0.9999827970763602,0.999983641349768,8.442734078517589e-07,8.440482108585014e-07,OpenSpliceAI-style vector T,multiclass,argmax
0,0.0,0.06666666666666667,556586,416073098.14792,8.620003356095592e-06,8.573012809234497e-06,4.699054686109533e-08,4.698073437178237e-08,OpenSpliceAI-style vector T,binary_class,acceptor
1,0.06666666666666667,0.13333333333333333,1574,18196.15648,0.09107865464763604,0.08540265092290522,0.005676003724730816,2.4817726825323144e-07,OpenSpliceAI-style vector T,binary_class,acceptor
2,0.13333333333333333,0.2,1183,8662.970416,0.155951758539241,0.1355193361657672,0.020432422373473813,4.253303309991834e-07,OpenSpliceAI-style vector T,binary_class,acceptor
3,0.2,0.26666666666666666,1031,6017.646944,0.2342543112416495,0.17033235906636135,0.06392195217528815,9.24307334107403e-07,OpenSpliceAI-style vector T,binary_class,acceptor
4,0.26666666666666666,0.3333333333333333,1057,2719.2156480000003,0.28860605379792065,0.38797952666091745,0.0993734728629968,6.493125298086416e-07,OpenSpliceAI-style vector T,binary_class,acceptor
5,0.3333333333333333,0.4,972,1803.1078240000002,0.35668107849779673,0.538514661783199,0.18183358328540222,7.878353438289706e-07,OpenSpliceAI-style vector T,binary_class,acceptor
6,0.4,0.4666666666666667,1005,2667.2156480000003,0.44290248616935946,0.3760475838360108,0.06685490233334868,4.2848049223620564e-07,OpenSpliceAI-style vector T,binary_class,acceptor
7,0.4666666666666667,0.5333333333333333,1131,1131.0,0.5015569274169364,1.0,0.49844307258306364,1.3546210954715613e-06,OpenSpliceAI-style vector T,binary_class,acceptor
8,0.5333333333333333,0.6,1217,2048.107824,0.5553146263129703,0.5937187416359384,0.03840411532296806,1.890036742281074e-07,OpenSpliceAI-style vector T,binary_class,acceptor
9,0.6,0.6666666666666666,1258,2089.107824,0.6289243834118267,0.6016922561676261,0.027232127244200544,1.3670427261155065e-07,OpenSpliceAI-style vector T,binary_class,acceptor
10,0.6666666666666666,0.7333333333333333,1631,3293.2156480000003,0.7000328980413679,0.49465330367578764,0.2053795943655803,1.625238595599341e-06,OpenSpliceAI-style vector T,binary_class,acceptor
11,0.7333333333333333,0.8,2102,2102.0,0.7671265593768855,1.0,0.23287344062311455,1.1762302292142126e-06,OpenSpliceAI-style vector T,binary_class,acceptor
12,0.8,0.8666666666666667,2857,2857.0,0.8362783232968332,1.0,0.16372167670316684,1.1239735446485671e-06,OpenSpliceAI-style vector T,binary_class,acceptor
13,0.8666666666666667,0.9333333333333333,4970,5801.107824000001,0.9030299064326637,0.8565605313251629,0.04646937510750082,6.477649353914693e-07,OpenSpliceAI-style vector T,binary_class,acceptor
14,0.9333333333333333,1.0,27514,27514.0,0.9823100373683747,1.0,0.017689962631625256,1.1695540942102492e-06,OpenSpliceAI-style vector T,binary_class,acceptor
0,0.0,0.06666666666666667,556232,416083548.54963195,6.144561018880932e-06,7.786897634606962e-06,1.64233661572603e-06,1.6420349072094382e-06,OpenSpliceAI-style vector T,binary_class,donor
1,0.06666666666666667,0.13333333333333333,1551,14848.725184,0.10014558875762157,0.10337587779279625,0.00323028903517468,1.1525777140570294e-07,OpenSpliceAI-style vector T,binary_class,donor
2,0.13333333333333333,0.2,1233,6219.646944,0.1689118711321927,0.1972780788117995,0.02836620767960682,4.239422263248171e-07,OpenSpliceAI-style vector T,binary_class,donor
3,0.2,0.26666666666666666,1073,1904.1078240000002,0.24184486857437573,0.5629933276299588,0.3211484590555831,1.469389882625143e-06,OpenSpliceAI-style vector T,binary_class,donor
4,0.26666666666666666,0.3333333333333333,1039,1870.1078240000002,0.287931161855028,0.5550482098833248,0.26711704802829683,1.200350061133943e-06,OpenSpliceAI-style vector T,binary_class,donor
5,0.3333333333333333,0.4,1129,1960.1078240000002,0.3657156566976856,0.5754785457149422,0.2097628890172566,9.879802959139954e-07,OpenSpliceAI-style vector T,binary_class,donor
6,0.4,0.4666666666666667,1068,1068.0,0.4335978356761065,1.0,0.5664021643238935,1.4535695681899227e-06,OpenSpliceAI-style vector T,binary_class,donor
7,0.4666666666666667,0.5333333333333333,1222,2053.107824,0.49789777019719145,0.5947081715470585,0.09681040134986701,4.776100356977897e-07,OpenSpliceAI-style vector T,binary_class,donor
8,0.5333333333333333,0.6,1383,2214.107824,0.5742517431640128,0.6241791772829216,0.049927434118908764,2.6563034052989343e-07,OpenSpliceAI-style vector T,binary_class,donor
9,0.6,0.6666666666666666,1527,2358.107824,0.6277053055830739,0.6471290177950743,0.019423712212000344,1.1006153339639168e-07,OpenSpliceAI-style vector T,binary_class,donor
10,0.6666666666666666,0.7333333333333333,1942,4435.323472,0.708700535718419,0.4371721729521693,0.27152836276624964,2.893877644874274e-06,OpenSpliceAI-style vector T,binary_class,donor
11,0.7333333333333333,0.8,2409,2409.0,0.7685350076211197,1.0,0.2314649923788803,1.3398672785484491e-06,OpenSpliceAI-style vector T,binary_class,donor
12,0.8,0.8666666666666667,3352,4183.107824000001,0.835937576878759,0.8010790400319358,0.034858536846823274,3.503869142088109e-07,OpenSpliceAI-style vector T,binary_class,donor
13,0.8666666666666667,0.9333333333333333,6092,6092.0,0.9036697463318957,1.0,0.09633025366810433,1.410140103196106e-06,OpenSpliceAI-style vector T,binary_class,donor
14,0.9333333333333333,1.0,24836,24836.0,0.978762829544075,1.0,0.021237170455924992,1.267412450603982e-06,OpenSpliceAI-style vector T,binary_class,donor
