method,reliability_type,class,bin,bin_lower,bin_upper,raw_count,target_weight,target_weight_fraction,mean_predicted_probability,observed_frequency,absolute_gap,ece_contribution
global_T_1.1,multiclass,argmax,10,0.6666666666666666,0.7333333333333333,18898,50618.30945199996,0.0001242842288245612,0.7003120777609436,0.8886169082879707,0.18830483052702707,2.3403320645991247e-05
global_T_1.1,multiclass,argmax,11,0.7333333333333333,0.8,22026,96040.055388,0.0002358092229746348,0.7675205306544021,0.9663542336065358,0.19883370295213376,4.688682099431201e-05
global_T_1.1,multiclass,argmax,12,0.8,0.8666666666666667,20830,183498.25359999953,0.00045054722661087653,0.8384026872553701,0.9905067216399928,0.1521040343846226,6.853005084831712e-05
global_T_1.1,multiclass,argmax,13,0.8666666666666667,0.9333333333333333,9261,601373.4431040005,0.0014765652077461618,0.9097207427082188,0.9982456824256246,0.08852493971740583,0.00013071284600454778
global_T_1.1,multiclass,argmax,14,0.9333333333333333,1.0,499590,406264975.17006165,0.9975111710382424,0.9978279435184167,0.9999988652725975,0.0021709217541807657,0.002165518701245251
global_T_1.1,binary_class,acceptor,0,0.0,0.06666666666666667,553673,406753382.40717524,0.9987103678797441,0.0011753496147192055,6.441249448240071e-07,0.0011747054897743815,0.0011731905518429274
global_T_1.1,binary_class,acceptor,1,0.06666666666666667,0.13333333333333333,909,299405.2453559993,0.0007351361676822784,0.08986332477746013,0.0018035756165792232,0.08805974916088091,6.473590652519272e-05
global_T_1.1,binary_class,acceptor,2,0.13333333333333333,0.2,1002,79896.10299599993,0.00019617062787056849,0.15860771280952593,0.011314694535793061,0.14729301827373287,2.8894563875709293e-05
global_T_1.1,binary_class,acceptor,3,0.2,0.26666666666666666,1256,43549.745935999956,0.0001069286321048296,0.23132122033815947,0.02762358250649523,0.20369763783166422,2.1781109776324844e-05
global_T_1.1,binary_class,acceptor,4,0.26666666666666666,0.3333333333333333,1643,21163.190432,5.196243870614942e-05,0.29412743124898233,0.07650075281428154,0.2176266784347008,1.130841293898603e-05
global_T_1.1,binary_class,acceptor,5,0.3333333333333333,0.4,1964,13350.777752,3.278045306291574e-05,0.36385676362759983,0.1460589065463158,0.21779785708128405,7.139512431256662e-06
global_T_1.1,binary_class,acceptor,6,0.4,0.4666666666666667,2556,13942.777752000002,3.4234003453291985e-05,0.43159671335277994,0.18231661188426865,0.2492801014685113,8.533855854509992e-06
global_T_1.1,binary_class,acceptor,7,0.4666666666666667,0.5333333333333333,3238,7304.706340000001,1.7935403297450757e-05,0.4980910478023234,0.44259137185246517,0.05549967594985822,9.954090710385356e-07
global_T_1.1,binary_class,acceptor,8,0.5333333333333333,0.6,4143,5769.682536,1.4166426186739553e-05,0.5694107316432232,0.7177171316033738,0.1483063999601506,2.1009716680565475e-06
global_T_1.1,binary_class,acceptor,9,0.6,0.6666666666666666,5586,6399.341268,1.5712440875426062e-05,0.6370323021717419,0.8727460790265827,0.23571377685484085,3.703638782355059e-06
global_T_1.1,binary_class,acceptor,10,0.6666666666666666,0.7333333333333333,7199,8825.682536,2.1669889012735856e-05,0.6994547205159126,0.815461010595317,0.11600629007940433,2.513843430799932e-06
global_T_1.1,binary_class,acceptor,11,0.7333333333333333,0.8,9544,10357.341268,2.543060378946185e-05,0.7683282192311157,0.9213754527413338,0.1530472335102181,3.892083556471605e-06
global_T_1.1,binary_class,acceptor,12,0.8,0.8666666666666667,10283,10283.0,2.52480720679712e-05,0.8325410202986857,1.0,0.1674589797013143,4.22801638792771e-06
global_T_1.1,binary_class,acceptor,13,0.8666666666666667,0.9333333333333333,4804,4804.0,1.1795364992174816e-05,0.8914596132087114,1.0,0.10854038679128863,1.2802734785950798e-06
