method,reliability_type,class,bin,bin_lower,bin_upper,raw_count,target_weight,target_weight_fraction,mean_predicted_probability,observed_frequency,absolute_gap,ece_contribution
global_T_1.1,binary_class,acceptor,7,0.4666666666666667,0.5333333333333333,3273,8966.388876,2.2015368329349732e-05,0.5010401848151151,0.36424920279132444,0.1367909820237907,3.0115038533872103e-06
global_T_1.1,binary_class,acceptor,8,0.5333333333333333,0.6,4095,4908.341268,1.2051556361826427e-05,0.5621444383593522,0.8340903324491494,0.2719458940897972,3.277371269990471e-06
global_T_1.1,binary_class,acceptor,9,0.6,0.6666666666666666,4938,6564.682536,1.6118406863004954e-05,0.6338073320772406,0.7519023156004142,0.1180949835231736,1.9035029929063783e-06
global_T_1.1,binary_class,acceptor,10,0.6666666666666666,0.7333333333333333,6320,6320.0,1.5517632545908584e-05,0.7014836537395388,1.0,0.2985163462604612,4.632266970217049e-06
global_T_1.1,binary_class,acceptor,11,0.7333333333333333,0.8,7987,8800.341268,2.1607668049908105e-05,0.7662133733108353,0.9074648081022578,0.14125143479142255,3.052114114546299e-06
global_T_1.1,binary_class,acceptor,12,0.8,0.8666666666666667,9291,9291.0,2.281239303544884e-05,0.8335872712792254,1.0,0.16641272872077462,3.796272573679836e-06
global_T_1.1,binary_class,acceptor,13,0.8666666666666667,0.9333333333333333,6930,6930.0,1.7015378725181406e-05,0.8947694018231405,1.0,0.10523059817685954,1.790538481456649e-06
global_T_1.1,binary_class,acceptor,14,0.9333333333333333,1.0,609,609.0,1.495290857667457e-06,0.943910739341252,1.0,0.056089260658747975,8.386975867635281e-08
global_T_1.1,binary_class,donor,0,0.0,0.06666666666666667,553694,406796510.4943794,0.9988162612040545,0.0010956953517514926,5.580185526275217e-07,0.0010951373331988651,0.0010938409766506694
global_T_1.1,binary_class,donor,1,0.06666666666666667,0.13333333333333333,1000,287296.126335999,0.000705404386130532,0.09193951005274989,0.0022520317564021716,0.08968747829634771,6.326594057123057e-05
global_T_1.1,binary_class,donor,2,0.13333333333333333,0.2,1169,87383.17440799996,0.00021455379606936492,0.1608982975781982,0.012164813274426912,0.14873348430377129,3.191133365999743e-05
global_T_1.1,binary_class,donor,3,0.2,0.26666666666666666,1375,23335.214236,5.729545567947831e-05,0.2261112718982443,0.05776677198533692,0.16834449991290737,9.645374833643924e-06
global_T_1.1,binary_class,donor,4,0.26666666666666666,0.3333333333333333,1897,18163.825360000003,4.459803284248983e-05,0.2910040346575462,0.1033372630929105,0.1876667715646357,8.369568841683661e-06
global_T_1.1,binary_class,donor,5,0.3333333333333333,0.4,2298,7178.047608000001,1.7624415376262987e-05,0.3722322422185146,0.31930688192225765,0.05292536029625694,9.327785337996094e-07
global_T_1.1,binary_class,donor,6,0.4,0.4666666666666667,2859,6925.706340000001,1.7004836409017315e-05,0.43244471238054705,0.4120879315249742,0.020356780855572854,3.461637282632319e-07
global_T_1.1,binary_class,donor,7,0.4666666666666667,0.5333333333333333,3706,10212.730144000001,2.5075536972328493e-05,0.4951741504544287,0.36209710311131466,0.13307704734311404,3.3369784208205653e-06
global_T_1.1,binary_class,donor,8,0.5333333333333333,0.6,4703,5516.341268,1.3544391897888518e-05,0.5640065666394842,0.8523765611232303,0.2883699944837461,3.905796216879808e-06
global_T_1.1,binary_class,donor,9,0.6,0.6666666666666666,5918,5918.0,1.4530593260551741e-05,0.6350552262181001,1.0,0.36494477378189993,5.302864070388855e-06
global_T_1.1,binary_class,donor,10,0.6666666666666666,0.7333333333333333,7351,7351.0,1.804906912104019e-05,0.701309463955077,1.0,0.298690536044923,5.391086130875362e-06
global_T_1.1,binary_class,donor,11,0.7333333333333333,0.8,8749,9562.341268,2.347862311319645e-05,0.7672389882720257,0.9148387152082554,0.1475997269362297,3.4654383603464468e-06
global_T_1.1,binary_class,donor,12,0.8,0.8666666666666667,9066,9066.0,2.225994567424165e-05,0.8322205621327813,1.0,0.16777943786721872,3.734761172179091e-06
global_T_1.1,binary_class,donor,13,0.8666666666666667,0.9333333333333333,4096,4096.0,1.0056997295576196e-05,0.8906714742260069,1.0,0.1093285257739931,1.0995166880383812e-06
global_T_1.1,binary_class,donor,14,0.9333333333333333,1.0,107,107.0,2.627194117740852e-07,0.9416288834719645,1.0,0.058371116528035505,1.533522539884207e-08
true_logit_unweighted_vector_T,multiclass,argmax,0,0.0,0.06666666666666667,0,0.0,0.0,,,,0.0
true_logit_unweighted_vector_T,multiclass,argmax,1,0.06666666666666667,0.13333333333333333,0,0.0,0.0,,,,0.0
true_logit_unweighted_vector_T,multiclass,argmax,2,0.13333333333333333,0.2,0,0.0,0.0,,,,0.0
true_logit_unweighted_vector_T,multiclass,argmax,3,0.2,0.26666666666666666,0,0.0,0.0,,,,0.0
true_logit_unweighted_vector_T,multiclass,argmax,4,0.26666666666666666,0.3333333333333333,0,0.0,0.0,,,,0.0
true_logit_unweighted_vector_T,multiclass,argmax,5,0.3333333333333333,0.4,0,0.0,0.0,,,,0.0
true_logit_unweighted_vector_T,multiclass,argmax,6,0.4,0.4666666666666667,0,0.0,0.0,,,,0.0
true_logit_unweighted_vector_T,multiclass,argmax,7,0.4666666666666667,0.5333333333333333,345,41825.40466799997,0.00010269481973448625,0.5160188357474987,0.5488663095126906,0.032847473765191815,3.37326539704964e-06
true_logit_unweighted_vector_T,multiclass,argmax,8,0.5333333333333333,0.6,701,86101.83313999996,0.00021140769117019838,0.5680374866871708,0.5335671649789449,0.03447032170822595,7.287291126230016e-06
true_logit_unweighted_vector_T,multiclass,argmax,9,0.6,0.6666666666666666,766,113820.43625200009,0.00027946577626163766,0.6323811503290937,0.6044842980540839,0.02789685227500982,7.796215476291852e-06
true_logit_unweighted_vector_T,multiclass,argmax,10,0.6666666666666666,0.7333333333333333,839,89493.19821199997,0.00021973458310316118,0.6997009997796215,0.596717778411447,0.1029832213681745,2.2628975213956383e-05
true_logit_unweighted_vector_T,multiclass,argmax,11,0.7333333333333333,0.8,1072,135273.3092200001,0.00033213947875712494,0.7695123252801492,0.76363179376355,0.0058805315165992855,1.953156672738132e-06
true_logit_unweighted_vector_T,multiclass,argmax,12,0.8,0.8666666666666667,1556,204077.9757319992,0.0005010770629939894,0.8358895746577899,0.8314108461111865,0.004478728546603361,2.244188146079351e-06
true_logit_unweighted_vector_T,multiclass,argmax,13,0.8666666666666667,0.9333333333333333,2988,355164.76904400054,0.0008720437308983052,0.9050083975724718,0.875526988245492,0.029481409326979735,2.57090781816395e-05
true_logit_unweighted_vector_T,multiclass,argmax,14,0.9333333333333333,1.0,599721,406252865.07507724,0.997481436860384,0.9998407827765948,0.9997864773842462,5.43053923486303e-05,5.4168620789178655e-05
true_logit_unweighted_vector_T,binary_class,acceptor,0,0.0,0.06666666666666667,553522,406643430.33599484,0.9984404001838202,7.837751155711284e-05,5.975751281638014e-07,7.777993642894905e-05,7.765863085439198e-05
true_logit_unweighted_vector_T,binary_class,acceptor,1,0.06666666666666667,0.13333333333333333,341,172769.3488159996,0.0004242043148928146,0.09528993179656746,0.0007408721563008307,0.09454905964026662,4.010811906845917e-05
true_logit_unweighted_vector_T,binary_class,acceptor,2,0.13333333333333333,0.2,217,84804.49187199996,0.00020822230112534597,0.16225855066352288,0.0013324765882750298,0.16092607407524784,3.350839745501599e-05
true_logit_unweighted_vector_T,binary_class,acceptor,3,0.2,0.26666666666666666,185,57932.230027999896,0.00014224225603473952,0.23031859445133318,0.00196781653226367,0.22835077791906952,3.2481129818496234e-05
true_logit_unweighted_vector_T,binary_class,acceptor,4,0.26666666666666666,0.3333333333333333,168,23754.896772,5.83259112775136e-05,0.2981189636350853,0.005851425132852604,0.2922675385022327,1.7046770519978516e-05
true_logit_unweighted_vector_T,binary_class,acceptor,5,0.3333333333333333,0.4,151,31871.309452000005,7.825431468877834e-05,0.3652887506838846,0.00351413236311104,0.36177461832077357,2.831042482848649e-05
true_logit_unweighted_vector_T,binary_class,acceptor,6,0.4,0.4666666666666667,161,22934.555504,5.631170963842045e-05,0.4289658023280615,0.00579910955661659,0.42316669277144486,2.3829239931996277e-05
true_logit_unweighted_vector_T,binary_class,acceptor,7,0.4666666666666667,0.5333333333333333,158,17238.166628,4.2325242958615194e-05,0.49419478262317496,0.007947480898430958,0.486247301724744,2.058053518347086e-05
true_logit_unweighted_vector_T,binary_class,acceptor,8,0.5333333333333333,0.6,207,16473.82536,4.0448539329422495e-05,0.5619619210459507,0.011351340439364716,0.550610580606586,2.2271393724861647e-05
true_logit_unweighted_vector_T,binary_class,acceptor,9,0.6,0.6666666666666666,235,27075.261844,6.647847537649546e-05,0.6304938001715285,0.007460685003301791,0.6230331151682267,4.141829160545222e-05
true_logit_unweighted_vector_T,binary_class,acceptor,10,0.6666666666666666,0.7333333333333333,259,16525.82536,4.0576216052901494e-05,0.6998748236306436,0.014462212615321986,0.6854126110153216,2.781145018994102e-05
true_logit_unweighted_vector_T,binary_class,acceptor,11,0.7333333333333333,0.8,370,14196.801556,3.485771358753026e-05,0.770188749763794,0.024864755530150485,0.7453239942336436,2.5980290320910404e-05
true_logit_unweighted_vector_T,binary_class,acceptor,12,0.8,0.8666666666666667,594,19300.849164,4.7389791954265645e-05,0.8330218983215163,0.029584190578776755,0.8034377077427396,3.807474581814051e-05
true_logit_unweighted_vector_T,binary_class,acceptor,13,0.8666666666666667,0.9333333333333333,1259,26472.579308,6.499869592467832e-05,0.8991676956631242,0.046387621912946694,0.8527800737501775,5.542959270431254e-05
true_logit_unweighted_vector_T,binary_class,acceptor,14,0.9333333333333333,1.0,50161,103841.523688,0.00025496433664519717,0.9833028631186383,0.4824178057182053,0.5008850574004331,0.00012770782639559292
