reference_method,comparison_method,metric,direction,mean_method_minus_reference,mean_improvement,improvement_ci_lower_2.5,improvement_ci_upper_97.5,probability_comparison_better,improvement_ci_excludes_zero,n_bootstrap
true_logit_unweighted_vector_T,true_logit_target_weighted_vector_T,weighted_multiclass_ece,lower_is_better,-0.00010193536477991007,0.00010193536477991007,5.246818269744834e-05,0.00014619316583267707,1.0,True,200
true_logit_unweighted_vector_T,true_logit_target_weighted_vector_T,weighted_multiclass_nll,lower_is_better,-0.0019034209283923101,0.0019034209283923101,0.0017320614973613232,0.002087064810688606,1.0,True,200
true_logit_unweighted_vector_T,true_logit_target_weighted_vector_T,weighted_multiclass_brier,lower_is_better,-0.0010198594803628727,0.0010198594803628727,0.0009348521951251593,0.0011115251836039256,1.0,True,200
true_logit_unweighted_vector_T,true_logit_target_weighted_vector_T,acceptor_ece,lower_is_better,-0.00048341361146547426,0.00048341361146547426,0.0004361537178827483,0.0005279384418213772,1.0,True,200
true_logit_unweighted_vector_T,true_logit_target_weighted_vector_T,acceptor_nll,lower_is_better,-0.0009847932713377826,0.0009847932713377826,0.000850635196891636,0.0011322300273724948,1.0,True,200
true_logit_unweighted_vector_T,true_logit_target_weighted_vector_T,acceptor_brier,lower_is_better,-0.00025325313642647574,0.00025325313642647574,0.000217024803731794,0.0002899634708899173,1.0,True,200
true_logit_unweighted_vector_T,true_logit_target_weighted_vector_T,sampled_acceptor_auprc,higher_is_better,4.13819457977449e-05,4.13819457977449e-05,9.449594697574782e-06,6.934171857582438e-05,0.995,True,200
true_logit_unweighted_vector_T,true_logit_target_weighted_vector_T,target_weighted_acceptor_auprc,higher_is_better,0.010507254654687397,0.010507254654687397,-0.004613034984450292,0.023021187814686615,0.935,False,200
true_logit_unweighted_vector_T,true_logit_target_weighted_vector_T,donor_ece,lower_is_better,-0.0005647419627005582,0.0005647419627005582,0.0005250313425269529,0.0006100964408329578,1.0,True,200
true_logit_unweighted_vector_T,true_logit_target_weighted_vector_T,donor_nll,lower_is_better,-0.0009186295468487657,0.0009186295468487657,0.0008108570295795998,0.001023683428656231,1.0,True,200
true_logit_unweighted_vector_T,true_logit_target_weighted_vector_T,donor_brier,lower_is_better,-0.00025667796944197995,0.00025667796944197995,0.00022339500479926703,0.00028646078549675856,1.0,True,200
true_logit_unweighted_vector_T,true_logit_target_weighted_vector_T,sampled_donor_auprc,higher_is_better,2.0249885208536435e-05,2.0249885208536435e-05,8.170201915014913e-09,3.530608079403697e-05,0.975,True,200
true_logit_unweighted_vector_T,true_logit_target_weighted_vector_T,target_weighted_donor_auprc,higher_is_better,0.0054291780537516045,0.0054291780537516045,-0.0017538063984254642,0.01285514213872682,0.925,False,200
true_logit_unweighted_vector_T,openspliceai_style_full_validation_vector_T_v2,weighted_multiclass_ece,lower_is_better,-0.00010399136174265334,0.00010399136174265334,5.450665185922024e-05,0.0001465871136482585,1.0,True,200
true_logit_unweighted_vector_T,openspliceai_style_full_validation_vector_T_v2,weighted_multiclass_nll,lower_is_better,-0.0019026250587829486,0.0019026250587829486,0.0017317726908313547,0.002087094035481605,1.0,True,200
true_logit_unweighted_vector_T,openspliceai_style_full_validation_vector_T_v2,weighted_multiclass_brier,lower_is_better,-0.0010189088345893154,0.0010189088345893154,0.0009330144810085908,0.0011116545308048078,1.0,True,200
true_logit_unweighted_vector_T,openspliceai_style_full_validation_vector_T_v2,acceptor_ece,lower_is_better,-0.0004841128533082309,0.0004841128533082309,0.0004388749437586523,0.000527411120093674,1.0,True,200
true_logit_unweighted_vector_T,openspliceai_style_full_validation_vector_T_v2,acceptor_nll,lower_is_better,-0.0009837069433229798,0.0009837069433229798,0.0008516352851712239,0.0011288432478523329,1.0,True,200
true_logit_unweighted_vector_T,openspliceai_style_full_validation_vector_T_v2,acceptor_brier,lower_is_better,-0.00025286386628072693,0.00025286386628072693,0.00021737683579829134,0.00028896605559260445,1.0,True,200
true_logit_unweighted_vector_T,openspliceai_style_full_validation_vector_T_v2,sampled_acceptor_auprc,higher_is_better,4.486506309826721e-05,4.486506309826721e-05,1.412658578653081e-05,7.125040489726342e-05,1.0,True,200
true_logit_unweighted_vector_T,openspliceai_style_full_validation_vector_T_v2,target_weighted_acceptor_auprc,higher_is_better,0.011114433365890646,0.011114433365890646,-0.003074543446620739,0.023090416013110824,0.94,False,200
true_logit_unweighted_vector_T,openspliceai_style_full_validation_vector_T_v2,donor_ece,lower_is_better,-0.0005638871719794823,0.0005638871719794823,0.0005229005309038237,0.0006105391284240962,1.0,True,200
true_logit_unweighted_vector_T,openspliceai_style_full_validation_vector_T_v2,donor_nll,lower_is_better,-0.0009189199752956124,0.0009189199752956124,0.000809297627798951,0.0010253243195093799,1.0,True,200
true_logit_unweighted_vector_T,openspliceai_style_full_validation_vector_T_v2,donor_brier,lower_is_better,-0.0002565918904300924,0.0002565918904300924,0.0002231304539220754,0.0002874317906422607,1.0,True,200
true_logit_unweighted_vector_T,openspliceai_style_full_validation_vector_T_v2,sampled_donor_auprc,higher_is_better,1.8634857768838886e-05,1.8634857768838886e-05,-3.243052468290818e-06,3.475596727044173e-05,0.955,False,200
true_logit_unweighted_vector_T,openspliceai_style_full_validation_vector_T_v2,target_weighted_donor_auprc,higher_is_better,0.005206796888105238,0.005206796888105238,-0.0024035275557189595,0.013209406335163515,0.89,False,200
true_logit_target_weighted_vector_T,openspliceai_style_full_validation_vector_T_v2,weighted_multiclass_ece,lower_is_better,-2.0559969627432596e-06,2.0559969627432596e-06,-7.272239410509746e-06,1.1978619287021257e-05,0.66,False,200
true_logit_target_weighted_vector_T,openspliceai_style_full_validation_vector_T_v2,weighted_multiclass_nll,lower_is_better,7.958696093614215e-07,-7.958696093614215e-07,-5.815132723657806e-06,5.013816678288274e-06,0.37,False,200
true_logit_target_weighted_vector_T,openspliceai_style_full_validation_vector_T_v2,weighted_multiclass_brier,lower_is_better,9.506457735571183e-07,-9.506457735571183e-07,-4.572844065272684e-06,2.6754821603362133e-06,0.275,False,200
true_logit_target_weighted_vector_T,openspliceai_style_full_validation_vector_T_v2,acceptor_ece,lower_is_better,-6.992418427565297e-07,6.992418427565297e-07,-3.4717205117919852e-06,5.028076180792554e-06,0.62,False,200
true_logit_target_weighted_vector_T,openspliceai_style_full_validation_vector_T_v2,acceptor_nll,lower_is_better,1.0863280148030421e-06,-1.0863280148030421e-06,-4.376481839655145e-06,1.6761540206263523e-06,0.255,False,200
true_logit_target_weighted_vector_T,openspliceai_style_full_validation_vector_T_v2,acceptor_brier,lower_is_better,3.89270145748819e-07,-3.89270145748819e-07,-1.5541596197630425e-06,5.212876530679893e-07,0.245,False,200
true_logit_target_weighted_vector_T,openspliceai_style_full_validation_vector_T_v2,sampled_acceptor_auprc,higher_is_better,3.483117300522309e-06,3.483117300522309e-06,1.8253517416688681e-06,5.021358479861961e-06,1.0,True,200
true_logit_target_weighted_vector_T,openspliceai_style_full_validation_vector_T_v2,target_weighted_acceptor_auprc,higher_is_better,0.0006071787112032518,0.0006071787112032518,-0.0001324084591490776,0.001579954640286277,0.94,False,200
true_logit_target_weighted_vector_T,openspliceai_style_full_validation_vector_T_v2,donor_ece,lower_is_better,8.547907210757559e-07,-8.547907210757559e-07,-5.385946695399358e-06,3.6752013256486896e-06,0.34,False,200
true_logit_target_weighted_vector_T,openspliceai_style_full_validation_vector_T_v2,donor_nll,lower_is_better,-2.9042844684660775e-07,2.9042844684660775e-07,-3.896762620369284e-06,5.032908306025901e-06,0.51,False,200
true_logit_target_weighted_vector_T,openspliceai_style_full_validation_vector_T_v2,donor_brier,lower_is_better,8.607901188757078e-08,-8.607901188757078e-08,-1.3117563049792389e-06,1.4037358422910016e-06,0.4,False,200
true_logit_target_weighted_vector_T,openspliceai_style_full_validation_vector_T_v2,sampled_donor_auprc,higher_is_better,-1.6150274396975472e-06,-1.6150274396975472e-06,-3.4404931492371116e-06,-3.7586199793659945e-07,0.0,True,200
true_logit_target_weighted_vector_T,openspliceai_style_full_validation_vector_T_v2,target_weighted_donor_auprc,higher_is_better,-0.000222381165646367,-0.000222381165646367,-0.0008666449960764322,0.00036221015787404355,0.255,False,200
