bin,bin_lower,bin_upper,count,weight_sum,mean_pred,observed,abs_gap,ece_contribution,method,reliability_type,class
11,0.7333333333333333,0.8,3698,4529.107824000001,0.7672935960821189,0.8162755544059662,0.04898195832384733,5.330751890604068e-07,true-logit genome-weighted vector T,binary_class,donor
12,0.8,0.8666666666666667,5030,5030.0,0.8352110776247992,1.0,0.16478892237520082,1.9917538435872264e-06,true-logit genome-weighted vector T,binary_class,donor
13,0.8666666666666667,0.9333333333333333,7982,7982.0,0.9030486286886689,1.0,0.09695137131133114,1.8595392296401507e-06,true-logit genome-weighted vector T,binary_class,donor
14,0.9333333333333333,1.0,13943,13943.0,0.967369796163069,1.0,0.03263020383693105,1.0932404173835295e-06,true-logit genome-weighted vector T,binary_class,donor
0,0.0,0.06666666666666667,0,0.0,,,,0.0,OpenSpliceAI-style vector T,multiclass,argmax
1,0.06666666666666667,0.13333333333333333,0,0.0,,,,0.0,OpenSpliceAI-style vector T,multiclass,argmax
2,0.13333333333333333,0.2,0,0.0,,,,0.0,OpenSpliceAI-style vector T,multiclass,argmax
3,0.2,0.26666666666666666,0,0.0,,,,0.0,OpenSpliceAI-style vector T,multiclass,argmax
4,0.26666666666666666,0.3333333333333333,0,0.0,,,,0.0,OpenSpliceAI-style vector T,multiclass,argmax
5,0.3333333333333333,0.4,0,0.0,,,,0.0,OpenSpliceAI-style vector T,multiclass,argmax
6,0.4,0.4666666666666667,0,0.0,,,,0.0,OpenSpliceAI-style vector T,multiclass,argmax
7,0.4666666666666667,0.5333333333333333,2529,5022.323472,0.5202471661239869,0.5983715833427307,0.07812441721874375,9.428251017253405e-07,OpenSpliceAI-style vector T,multiclass,argmax
8,0.5333333333333333,0.6,5343,10329.646944,0.571387401645763,0.6055803581586574,0.034192956512894446,8.48714842247561e-07,OpenSpliceAI-style vector T,multiclass,argmax
9,0.6,0.6666666666666666,5537,10523.646944,0.6366696738637948,0.6161771988841819,0.02049247497961293,5.182035075312381e-07,OpenSpliceAI-style vector T,multiclass,argmax
10,0.6666666666666666,0.7333333333333333,6205,15347.186064000001,0.6999050314141951,0.7360939242470892,0.03618889283289406,1.3345772581617197e-06,OpenSpliceAI-style vector T,multiclass,argmax
11,0.7333333333333333,0.8,7099,16241.186064000001,0.7651252643743365,0.8006236852875206,0.035498420913184114,1.3853721141609286e-06,OpenSpliceAI-style vector T,multiclass,argmax
12,0.8,0.8666666666666667,9572,24531.940832000004,0.833758983336339,0.7564631621723618,0.07729582116397726,4.556460282957381e-06,OpenSpliceAI-style vector T,multiclass,argmax
13,0.8666666666666667,0.9333333333333333,14972,37411.911248000004,0.9029274297130467,0.888080889633142,0.014846540079904713,1.3346728176885574e-06,OpenSpliceAI-style vector T,multiclass,argmax
14,0.9333333333333333,1.0,554831,416040592.158432,0.9999804197359724,0.9999796579757275,7.617602448828364e-07,7.615416747496335e-07,OpenSpliceAI-style vector T,multiclass,argmax
0,0.0,0.06666666666666667,556943,416077610.68704,9.25936868922989e-06,9.418915844880066e-06,1.5954715565017569e-07,1.5951556928786614e-07,OpenSpliceAI-style vector T,binary_class,acceptor
1,0.06666666666666667,0.13333333333333333,1764,14230.61736,0.09372126935130251,0.12290401433434368,0.029182744983041173,9.97905799135233e-07,OpenSpliceAI-style vector T,binary_class,acceptor
2,0.13333333333333333,0.2,1317,6303.646944,0.16573280276498747,0.20797484561660756,0.04224204285162009,6.398474729189062e-07,OpenSpliceAI-style vector T,binary_class,acceptor
3,0.2,0.26666666666666666,1179,5334.53912,0.2353243795641109,0.22007524428839503,0.015249135275715864,1.9547075325470558e-07,OpenSpliceAI-style vector T,binary_class,acceptor
